endereço,bairros,área m²,quartos,garagem,tipo,aluguel,total,bairros_original,id_distrito
Rua Fiandeiras,vila olimpia,42,1,1,Apartamento,2300,4056,Vila Olímpia,1256
Rua Conselheiro Brotero,santa cecilia,30,1,1,Apartamento,3300,4132,Santa Cecília,938
Rua Santa Justina,vila olimpia,33,1,1,Studio e kitnet,3150,4658,Vila Olímpia,1256
Rua Kansas,brooklin paulista,84,2,2,Apartamento,7990,9832,Brooklin Paulista,1147
Rua Halionore,vila prudente,90,2,2,Casa,2715,2830,Vila Prudente,988
Avenida Doutor Cardoso de Melo,vila olimpia,43,1,1,Studio e kitnet,3500,4774,Vila Olímpia,1256
Rua Barata Ribeiro,bela vista,20,1,0,Apartamento,4000,4754,Bela Vista,1410
Rua Oiti,alto da mooca,80,3,2,Apartamento,2250,3860,Alto da Mooca,1253
Rua Dr. Laerte Sertuba,vila suzana,67,3,1,Apartamento,1600,2364,Vila Suzana,1074
Rua Carvalho de Freitas,vila andrade,50,2,1,Apartamento,2600,3410,Vila Andrade,917
Rua Girassol,vila madalena,25,1,0,Apartamento,2770,3508,Vila Madalena,1257
Avenida dos Carinás,indianopolis,26,1,0,Apartamento,3500,4235,Indianópolis,1255
Avenida Sapopemba,jardim planalto,35,1,0,Apartamento,1050,1261,Jardim Planalto,1018
Avenida Vila Ema,vila ema,32,1,0,Studio e kitnet,1300,1652,Vila Ema,1145
Rua Mundo Novo,vila anglo brasileira,185,2,3,Casa,4579,4888,Vila Anglo Brasileira,1151
Rua Joaquim Afonso de Souza,vila celeste,49,1,1,Apartamento,1800,2303,Vila Celeste,1254
Rua Barata Ribeiro,bela vista,18,1,0,Studio e kitnet,4000,4754,Bela Vista,1410
Rua Domingos Paiva,bras,39,1,0,Apartamento,2330,2950,Brás,934
Alameda Iraé,indianopolis,25,1,0,Studio e kitnet,3690,4373,Indianópolis,1255
Rua Uxi,jardim santa maria,80,2,1,Casa,1700,1842,Jardim Santa Maria,1018
Rua Cinco de Outubro,americanopolis,120,2,1,Casa,1846,1924,Americanópolis,1073
Rua Baía Grande,vila bela,40,1,1,Casa,1100,1177,Vila Bela,988
Rua Antônio Píres,vila albertina,72,2,1,Apartamento,3082,3801,Vila Albertina,942
Rua São João da Bocaina,chacara mafalda,75,2,1,Casa,1800,2076,Chácara Mafalda,987
Rua Vicente Pereira de Assunção,vila constanca,65,3,1,Apartamento,1872,2621,Vila Constança,1024
Rua Itanhaém,vila prudente,50,2,1,Apartamento,2100,2915,Vila Prudente,988
Rua Gregório Souza,vila nova savoia,44,2,1,Apartamento,1500,1723,Vila Nova Savoia,963
Rua General Júlio Marcondes Salgado,campos eliseos,64,2,1,Apartamento,1800,2442,Campos Elíseos,1143
Rua Stela Marina,brooklin,26,1,0,Studio e kitnet,4500,5074,Brooklin,1147
Rua Capote Valente,pinheiros,83,2,1,Apartamento,3200,4131,Pinheiros,1257
"Indianópolis, São Paulo - Sp, 04524-020, Brasil",indianopolis,24,1,1,Apartamento,3200,4317,Indianópolis,1255
Rua Ministro Godói,perdizes,110,3,0,Apartamento,5400,6480,Perdizes,1151
Rua Galeno de Castro,jurubatuba,34,1,0,Apartamento,1800,2144,Jurubatuba,1265
Rua Joaquim Afonso de Souza,casa verde alta,26,1,0,Apartamento,920,1022,Casa Verde Alta,1259
Rua Hercília,vila matilde,69,2,2,Casa,2500,2731,Vila Matilde,1153
Rua Leopoldo Silingardi,jardim las vegas,43,2,1,Apartamento,1800,2387,Jardim Las Vegas,1020
Rua República do Togo,jardim peri peri,70,2,1,Casa,2633,2887,Jardim Peri Peri,1074
Rua Barata Ribeiro,bela vista,22,1,0,Studio e kitnet,4000,4754,Bela Vista,1410
Rua Heloísa Camargo,vila esperanca,45,1,0,Casa,1250,1371,Vila Esperança,1275
Rua São Bernardo,cidade mae do ceu,47,2,0,Apartamento,2950,3394,Cidade Mãe do Céu,992
Rua Galeno de Castro,jurubatuba,35,2,0,Apartamento,2200,2520,Jurubatuba,1265
Rua Alves Guimarães,pinheiros,38,1,1,Apartamento,4300,5485,Pinheiros,1257
Rua Doutor Gabriel dos Santos,santa cecilia,33,1,1,Apartamento,1600,2536,Santa Cecilia,938
Avenida Guarulhos,vila venditti,50,2,1,Apartamento,1450,1936,Vila Venditti,1275
Rua Gilberto Sabino,pinheiros,73,1,2,Apartamento,9500,11210,Pinheiros,1257
Rua Doutor Penaforte Mendes,bela vista,29,1,1,Apartamento,2430,3438,Bela Vista,1410
Avenida Roque Petroni Júnior,jardim das acacias,22,1,0,Studio e kitnet,3800,4521,Jardim das Acácias,904
Rua do Lavapés,cambuci,26,1,0,Apartamento,1350,1616,Cambuci,983
Rua Delegado Moraes Novaes,vila andrade,72,2,2,Apartamento,3000,3919,Vila Andrade,917
Rua Pires de Campos,alto da mooca,34,2,0,Apartamento,1795,2334,Alto da Mooca,1253
Rua Intendência,bras,53,2,0,Apartamento,1550,2010,Brás,934
Rua Campos,vila inah,354,3,3,Casa,5970,7013,Vila Inah,1074
Rua Doutor Argemiro Couto de Barros,chacara inglesa,69,1,0,Casa,1500,1563,Chácara Inglesa,1072
Rua Barão de Iguape,liberdade,50,2,1,Apartamento,2086,2601,Liberdade,1410
Rua Riskallah Jorge,centro,34,1,0,Studio e kitnet,1040,1420,Centro,1410
Rua Aurora,santa efigenia,28,1,0,Studio e kitnet,1990,2551,Santa Efigênia,1143
Rua Marie Nader Calfat,jardim ampliacao,56,2,1,Apartamento,2150,2788,Jardim Ampliação,917
Rua Joaquim Ferreira,agua branca,43,1,1,Apartamento,2800,3742,Água Branca,957
Rua George Smith,lapa,55,2,1,Apartamento,3200,3932,Lapa,957
Rua Igarité,vila nova carolina,24,1,0,Studio e kitnet,800,1031,Vila Nova Carolina,1146
Rua Soldado Teodoro Francisco Ribeiro,parque novo mundo,65,3,1,Apartamento,2000,2748,Parque Novo Mundo,910
Rua Doutor Clemente Jobim,jardim da gloria,27,1,0,Studio e kitnet,1902,2365,Jardim da Glória,1254
Rua Manoel Rodrigues da Costa,vila guedes,80,2,2,Casa,2000,2085,Vila Guedes,993
Rua Alexandrino da Silveira Bueno,cambuci,40,2,0,Apartamento,1600,2007,Cambuci,983
Avenida Salgado Filho,centro,68,3,1,Apartamento,2100,2750,Centro,1410
Rua Otto de Alencar,liberdade,44,2,1,Apartamento,1700,2266,Liberdade,1410
Rua Jaguaré,jaguare,58,2,2,Apartamento,2150,2869,Jaguaré,907
Rua Fernandes Moreira,chacara santo antonio,62,2,1,Apartamento,9500,10680,Chácara Santo Antônio (zona Sul),1265
Rua Peixoto Gomide,jardim paulista,45,1,0,Studio e kitnet,1600,2044,Jardim Paulista,937
Rua Ilansa,vila prudente,79,3,2,Apartamento,3650,4888,Vila Prudente,988
Rua André Saraíva,vila sonia,30,1,0,Casa,1150,1199,Vila Sonia,1074
Rua Luís Gama,cambuci,29,1,0,Studio e kitnet,1550,1910,Cambuci,983
Rua Ibitirama,vila prudente,55,2,1,Apartamento,2747,3361,Vila Prudente,988
Rua Cardoso de Almeida,perdizes,106,3,1,Apartamento,3276,4918,Perdizes,1151
Rua Aquiles Jovane,jardim celeste,48,2,1,Apartamento,1400,2017,Jardim Celeste,1074
Rua Massaranduba,vila monte alegre,38,1,1,Apartamento,2000,2685,Vila Monte Alegre,1072
Rua Agostinho Correia,vila regina,50,2,1,Apartamento,1300,1650,Vila Regina,1075
Rua Itararé,bela vista,30,2,0,Apartamento,1643,1898,Bela Vista,1410
Rua Alves Guimarães,pinheiros,43,1,1,Apartamento,3900,4865,Pinheiros,1257
Rua Helena,vila olimpia,126,3,3,Apartamento,15000,17410,Vila Olímpia,1256
Avenida Cangaíba,cangaiba,39,2,1,Apartamento,1200,1482,Cangaíba,1275
Rua João de Godói Moreira,socorro,56,1,0,Casa,1650,1720,Socorro,1268
Rua Pascal,campo belo,35,1,1,Studio e kitnet,3500,4440,Campo Belo,1147
Rua Martins Fontes,centro,41,1,1,Apartamento,2800,3638,Centro,1410
Rua Maestro Elias Lobo,jardim paulista,78,2,0,Apartamento,4900,5696,Jardim Paulista,937
Praça Alberto Lion,cambuci,29,1,0,Apartamento,1333,1704,Cambuci,983
Alameda Iraé,indianopolis,24,1,0,Studio e kitnet,3300,4017,Indianópolis,1255
Rua Guaicurus,agua branca,29,1,0,Apartamento,2000,2327,Água Branca,957
Rua Acaraú,bela vista,33,1,0,Apartamento,2150,2681,Bela Vista,1410
Rua Coronel Luís Barroso,santo amaro,33,1,1,Studio e kitnet,2800,3396,Santo Amaro,1265
Rua Paim,bela vista,36,1,1,Apartamento,2800,3445,Bela Vista,1410
Rua Catumbi,catumbi,48,2,1,Apartamento,1900,2474,Catumbi,934
Rua Padre Mariano Ronchi,vila pereira cerca,46,2,1,Apartamento,1150,2044,Vila Pereira Cerca,1146
Rua Fernando Dondon,tatuape,30,1,0,Studio e kitnet,1550,1662,Tatuapé,1078
Rua Benedito Faber,lajeado,52,2,1,Apartamento,2290,2869,Lajeado,960
Rua Doutor Augusto de Miranda,vila pompeia,42,1,1,Studio e kitnet,4750,5959,Vila Pompéia,1151
Avenida Doutor Hugo Beolchi,vila guarani,26,1,0,Apartamento,2700,3093,Vila Guarani (z Sul),1073
Avenida Nove de Julho,bela vista,30,1,0,Studio e kitnet,2000,2342,Bela Vista,1410
Rua Gabriele D'annunzio,campo belo,37,1,1,Studio e kitnet,3500,4276,Campo Belo,1147
Rua Frei Caneca,consolacao,40,1,0,Apartamento,2527,3065,Consolação,1067
Rua Jurupari,jardim oriental,35,1,0,Casa,980,1097,Jardim Oriental,1073
Rua Indiana,brooklin paulista,50,1,1,Apartamento,2600,3370,Brooklin Paulista,1147
Avenida Jabaquara,mirandopolis,26,1,0,Studio e kitnet,2188,2786,Mirandópolis,1072
Rua Ciro Costa,perdizes,32,1,1,Studio e kitnet,2750,3607,Perdizes,1151
Rua Conselheiro Ramalho,bela vista,32,1,0,Studio e kitnet,1700,2176,Bela Vista,1410
Rua Saint Hilaire,jardim paulista,32,1,1,Studio e kitnet,2100,2879,Jardim Paulista,937
Rua Dona Maria Carolina,jardim paulistano,24,1,1,Studio e kitnet,3500,4025,Jardim Paulistano,937
Rua Barão de Tatuí,vila buarque,30,1,1,Studio e kitnet,1262,1896,Vila Buarque,1143
Rua Jaguaribe,vila buarque,50,2,1,Apartamento,1700,2616,Vila Buarque,1143
Rua Cristiano Viana,cerqueira cesar,73,2,1,Apartamento,6000,7231,Cerqueira César,1067
Rua Alves Guimarães,pinheiros,25,1,0,Apartamento,3100,3650,Pinheiros,1257
Rua Valson Lopes,vila butanta,68,3,1,Apartamento,2500,3305,Vila Butantã,993
Rua Bucuituba,vila margarida,34,1,0,Apartamento,1100,1216,Vila Margarida,1146
Rua Márcio Mazzei,vila nova mazzei,53,2,1,Apartamento,1800,2369,Vila Nova Mazzei,1069
Avenida Francisco Matarazzo,barra funda,30,1,0,Apartamento,1600,2131,Barra Funda,1143
Rua do Valo Velho,vila ede,85,2,1,Casa,1350,1407,Vila Ede,910
Rua Fradique Coutinho,pinheiros,82,2,0,Casa,4000,4614,Pinheiros,1257
Rua Guaicurus,agua branca,28,1,0,Studio e kitnet,2400,2793,Água Branca,957
Rua Cantori,vila andrade,41,2,0,Apartamento,1300,1750,Vila Andrade,917
Rua Coronel Deraldo Jordão,vila firmiano pinto,90,2,2,Apartamento,5200,6574,Vila Firmiano Pinto,1148
Avenida Sapopemba,sapopemba,56,2,1,Apartamento,2200,2842,Sapopemba,945
Rua Gaspar Lourenço,vila mariana,50,2,0,Apartamento,3600,4289,Vila Mariana,1072
Avenida Celso Garcia,belenzinho,44,2,1,Apartamento,1850,2321,Belenzinho,925
Rua Cavour 399 Apto 124 B/a,vila prudente,75,3,2,Apartamento,2900,3648,Vila Prudente,988
Rua Engenheiro Bianor,butanta,45,2,1,Apartamento,3850,4723,Butantã,993
Rua Alves Guimarães,pinheiros,33,1,0,Apartamento,3100,3677,Pinheiros,1257
Rua Dona Vitu Giorgi,jardim leonor,55,2,1,Apartamento,1600,2162,Jardim Leonor,917
Rua Farjalla Koraicho,jabaquara,91,2,1,Casa,2700,2814,Jabaquara,1073
Rua Ouvidor Portugal,vila monumento,35,1,1,Apartamento,1800,2332,Vila Monumento,1254
Rua Doutor Nicolino Morena,vila constanca,60,2,1,Apartamento,1350,1875,Vila Constança,1024
"Rua Sete Barras, 268",nossa senhora do o,65,3,1,Apartamento,2250,2854,Nossa Senhora do Ó,1146
Avenida Jabaquara,mirandopolis,27,1,0,Studio e kitnet,2800,3363,Mirandópolis,1072
Avenida João Barreto de Menezes,vila santa catarina,80,2,5,Casa,2200,2305,Vila Santa Catarina,1024
Rua Professor Aprígio Gonzaga,sao judas,65,2,1,Apartamento,3500,4529,São Judas,1255
Rua Humberto I,vila mariana,21,1,0,Studio e kitnet,3400,4053,Vila Mariana,1072
Rua Andrade Reis,mooca,34,1,0,Apartamento,2000,2577,Mooca,934
Rua Cunha Gago,pinheiros,31,1,1,Apartamento,2300,3151,Pinheiros,1257
Rua Ernani Pinto,vila maria alta,65,3,1,Apartamento,1800,2494,Vila Maria Alta,1252
Rua Cônego Vicente Miguel Marino,barra funda,40,2,1,Apartamento,2800,3308,Barra Funda,1143
Rua Andradas,santa efigenia,30,1,0,Studio e kitnet,760,1258,Santa Efigênia,1143
Avenida Marechal Mario Guedes,jaguare,70,2,1,Apartamento,2700,3686,Jaguaré,907
Avenida Cupecê,jardim prudencia,28,1,0,Apartamento,1900,2254,Jardim Prudência,901
Avenida Dr. Vieira de Carvalho,republica,25,1,0,Studio e kitnet,1148,1742,República,1143
Rua Gabriel dos Santos,santa cecilia,38,1,1,Apartamento,2650,3652,Santa Cecília,938
"Rua Turiuba, 114, Água Fria",agua fria,38,1,0,Casa em condomínio,1249,1367,Água Fria,1154
Rua Tabatinguera,se,22,1,0,Studio e kitnet,1799,2182,Sé,1410
Rua Anamá,guaiauna,70,3,0,Casa,1200,1351,Guaiaúna,1275
Rua Francisco Retti,vila oratorio,96,1,0,Casa,1700,1873,Vila Oratorio,987
Rua Vigário Taques Bitencourt,santo amaro,350,3,4,Casa,3200,3378,Santo Amaro,1265
Rua Conselheiro Furtado,liberdade,26,1,0,Studio e kitnet,2100,2566,Liberdade,1410
Rua Doutor Miguel Vieira Ferreira,tatuape,30,0,0,Apartamento,1840,2113,Tatuapé,1078
Rua Coronel Fawcett,vila moraes,120,2,1,Casa,1400,1519,Vila Moraes,1148
Rua Aguiar de Barros,bela vista,16,1,0,Apartamento,1800,2139,Bela Vista,1410
Rua Angaturama,vila moraes,35,1,0,Casa em condomínio,1250,1347,Vila Moraes,1148
Rua Alves Ribeiro,cambuci,60,2,0,Apartamento,1900,2028,Cambuci,983
Rua Amorim Castro,vila sao luis,15,1,0,Studio e kitnet,740,1196,Vila São Luís(zona Oeste),1146
Rua Duque de Caxias,campos eliseos,61,1,0,Apartamento,1475,1732,Campos Elíseos,1143
Rua Jardim das Margaridas,vila buenos aires,75,2,1,Casa em condomínio,1577,1799,Vila Buenos Aires,965
Rua Ibéria,vila isolina mazzei,38,1,0,Apartamento,1250,1388,Vila Isolina Mazzei,1069
Avenida São João,republica,28,1,0,Studio e kitnet,1394,1493,República,1143
Rua Coronel Homero da Silveira,parque peruche,70,1,1,Casa,1500,1655,Parque Peruche,1259
Rua Domingos Paiva,bras,33,1,1,Apartamento,1700,2223,Brás,934
Rua Renéa Ferreira de Castilho,super quadra morumbi,110,3,3,Casa,3500,3825,Super Quadra Morumbi,917
Rua Antônio Gomes Ferreira,parque fongaro,34,2,0,Studio e kitnet,1100,1360,Parque Fongaro,1148
Rua Honório Pena,vila matilde,101,3,3,Casa,3060,3190,Vila Matilde,1153
Rua Natividade Saldanha,sao lucas,32,0,0,Studio e kitnet,1200,1532,São Lucas,1025
Rua Manuel Leiroz,vila penteado,38,1,0,Apartamento,1350,1702,Vila Penteado,943
Rua dos Carmelitas,se,38,1,0,Studio e kitnet,980,1377,Sé,1410
Rua Gradaú,vila bela,50,2,2,Apartamento,2500,3231,Vila Bela,988
Rua Vitório Ramalho,tatuape,91,3,2,Apartamento,6000,7282,Tatuapé,1078
Rua Aurélia,vila romana,80,2,0,Casa,2200,2335,Vila Romana,957
Rua Washington Luís,centro historico de sao paulo,22,1,0,Studio e kitnet,1843,2164,Centro Histórico de São Paulo,1410
Rua Conselheiro Furtado,liberdade,30,1,0,Studio e kitnet,2198,2682,Liberdade,1410
Rua Tristão de Oliveira,vila gumercindo,60,2,0,Casa,1555,1726,Vila Gumercindo,1072
Rua Timbiras,santa efigenia,36,1,1,Apartamento,1177,1861,Santa Efigênia,1143
Rua François Coty,cambuci,34,2,1,Apartamento,1680,2170,Cambuci,983
Rua Isaura Abad Giacomelli,jardim aurelia,32,1,0,Studio e kitnet,1700,2067,Jardim Aurelia,1021
Avenida Alberto Augusto Alves,vila andrade,38,1,1,Apartamento,2800,2940,Vila Andrade,917
Rua Barão de Iguape,liberdade,38,1,0,Studio e kitnet,1100,1492,Liberdade,1410
Rua Ataliba Leonel,vila fidalgo,70,1,0,Casa,1380,1438,Vila Fidalgo,1154
Rua Josef Kryss,parque industrial tomas edson,29,1,0,Apartamento,1760,2206,Parque Industrial Tomas Edson,1151
Avenida Dedo de Deus,vila formosa,34,1,0,Studio e kitnet,1500,1807,Vila Formosa,986
Rua Akron,jardim aricanduva,60,1,0,Casa,1350,1407,Jardim Aricanduva,962
Rua Itaqueri,alto da mooca,40,1,0,Casa,1200,1331,Alto da Mooca,1253
Rua dos Trilhos,mooca,90,2,0,Apartamento,2450,2482,Mooca,934
Rua Barreiro da Raiz,vila nova carolina,75,1,2,Casa,999,1041,Vila Nova Carolina,1146
Rua Conselheiro Lafaiette,mooca,41,2,0,Apartamento,2200,2532,Mooca,934
Rua Engenheiro Bianor,butanta,29,1,1,Studio e kitnet,2790,3392,Butantã,993
Rua Nestor Pestana,consolacao,42,1,0,Studio e kitnet,1706,2067,Consolação,1067
Rua Lindório,vila domitila,70,2,1,Casa,1930,2041,Vila Domitila,1275
Rua Olívia Guedes Penteado,socorro,35,2,0,Apartamento,1500,2015,Socorro,1268
Rua Jaboatão,casa verde,82,3,2,Apartamento,2100,3257,Casa Verde,1259
Travessa Carlos Ramirez,vila agua funda,54,1,1,Casa,1500,1563,Vila Água Funda,1148
Rua Tapiraí,vila isolina mazzei,67,2,1,Apartamento,2884,3695,Vila Isolina Mazzei,1069
Rua Panhames,vila beatriz,90,3,1,Casa,1900,2081,Vila Beatriz,1257
Rua Feliciano Bicudo,vila pauliceia,90,2,0,Casa,2450,2808,Vila Paulicéia,1027
Rua Leandro de Carvalho,vila monumento,95,2,2,Apartamento,2570,2843,Vila Monumento,1254
Rua José Maria Ressuto,imirim,130,3,1,Casa,2500,2606,Imirim,1259
Rua Capitão Rubens,parque edu chaves,30,1,0,Studio e kitnet,950,1057,Parque Edu Chaves,942
Rua do Lucas,bras,50,2,1,Apartamento,3000,3578,Brás,934
Rua Francisco Felippe Agosti,vila inglesa,55,2,1,Apartamento,1417,2154,Vila Inglesa,1074
Avenida São João,santa cecilia,24,1,0,Studio e kitnet,1240,1560,Santa Cecília,938
Rua Hilário Capote Valente,sao lucas,60,2,0,Casa,1400,1460,São Lucas,1025
Rua Glicério,liberdade,49,2,1,Apartamento,2400,2997,Liberdade,1410
Rua Tetsuaki Misawa,vila clementino,110,3,2,Casa,5250,5813,Vila Clementino,1255
Rua José de Figueiredo Seixas,sitio do mandaqui,50,2,1,Apartamento,1300,1992,Sítio do Mandaqui,1154
Rua Duarte de Carvalho,tatuape,81,2,1,Apartamento,4000,5088,Tatuapé,1078
Rua Miguel Garcia,cangaiba,70,1,0,Casa,969,1061,Cangaiba,1275
Rua Oscar Cintra Gordinho,liberdade,35,1,0,Apartamento,1281,1331,Liberdade,1410
Rua Celeste Fernandes Dalphorno,jardim rosana,40,1,0,Casa,800,949,Jardim Rosana,1071
Rua Quedas 315,vila isolina mazzei,60,2,1,Casa em condomínio,2600,2785,Vila Isolina Mazzei,1069
Rua Peixoto Gomide,jardim paulista,55,1,0,Apartamento,1650,2113,Jardim Paulista,937
Rua Frei Caneca,bela vista,30,1,0,Studio e kitnet,1735,2396,Bela Vista,1410
Rua Iapó,casa verde,55,2,0,Casa,2000,2085,Casa Verde,1259
Rua Piracanguá,jardim sao paulo,80,2,1,Casa,2000,2085,Jardim Sao Paulo(zona Norte),1069
Rua Bueno de Andrade,aclimacao,68,3,1,Apartamento,2199,3066,Aclimação,1015
Rua Jaracatiá,jardim umarizal,65,2,1,Apartamento,1500,2058,Jardim Umarizal,1071
Rua São Francisco de Assis,vila mangalot,223,3,6,Casa,4100,4518,Vila Mangalot,1075
Rua Major Quedinho,republica,33,1,0,Apartamento,1020,1607,República,1143
Rua Omachá,penha de franca,58,2,1,Apartamento,1600,2362,Penha de França,1275
Rua Oliveira Alves,ipiranga,58,2,1,Apartamento,4000,4982,Ipiranga,1254
Rua Marquês de Lages,vila moraes,63,3,1,Apartamento,1200,1867,Vila Moraes,1148
Rua Henrique Sertório,tatuape,38,1,1,Apartamento,3010,4226,Tatuapé,1078
Rua Francisca Miquelina,bela vista,30,1,0,Apartamento,1795,2239,Bela Vista,1410
Rua Coronel Joaquim Antônio Dias,tatuape,29,1,0,Studio e kitnet,1800,2208,Tatuapé,1078
Rua Bicudo de Brito,vila guarani,45,2,0,Apartamento,1535,1794,Vila Guarani,1073
Rua Domingos Portela,jardim das vertentes,207,3,6,Casa,5500,5834,Jardim das Vertentes,1074
Rua Doutor Cesário Mota Júnior,vila buarque,27,1,0,Apartamento,1401,1835,Vila Buarque,1143
Rua Edmundo Juventino Fuentes,parque tomas saraiva,60,2,1,Apartamento,1950,2527,Parque Tomas Saraiva,1025
Rua Francisco Coimbra,penha de franca,50,2,1,Apartamento,1860,2563,Penha de França,1275
Avenida Alberto Fontana,jardim celeste,56,2,1,Apartamento,1600,2152,Jardim Celeste,1074
Rua Cristovão Bezerra Dantas,parque vitoria,64,1,0,Casa,1236,1337,Parque Vitória,1069
Rua Assungui,vila gumercindo,120,3,3,Apartamento,5900,7581,Vila Gumercindo,1072
Avenida Salgado Filho,centro,49,2,1,Apartamento,1716,2327,Centro,1410
Avenida Avelino Alves Machado,jardim pinhal,70,2,1,Casa,1299,1414,Jardim Pinhal,1154
Avenida Professor Luiz Ignácio Anhaia Mello,vila graciosa,32,1,0,Studio e kitnet,1312,1703,Vila Graciosa,988
Rua Amapá,vila canero,60,2,1,Apartamento,4000,4507,Vila Canero,987
Rua Dom Bernardo Nogueira,vila gumercindo,53,2,1,Apartamento,3200,4080,Vila Gumercindo,1072
Rua Alexandre Benois,vila andrade,65,3,2,Apartamento,2890,3609,Vila Andrade,917
Rua Albino Boldasso Gabril,vila cruzeiro,44,0,0,Studio e kitnet,1400,1598,Vila Cruzeiro,1265
Rua Artur Bernardes,vila invernada,34,1,0,Apartamento,1450,1606,Vila Invernada,987
Rua Francisca Maria de Souza,tucuruvi,52,2,1,Casa em condomínio,2000,2411,Tucuruvi,1069
Rua Henrique Braglia,vila dom pedro ii,55,2,1,Apartamento,2100,2668,Vila Dom Pedro Ii,1069
Rua Mandioré,vila formosa,30,1,0,Studio e kitnet,800,901,Vila Formosa,986
Rua Floresto Bandecchi,jaguare,49,2,1,Apartamento,1150,1879,Jaguaré,907
Avenida Joaquina Ramalho,vila guilherme,42,1,0,Studio e kitnet,1500,1677,Vila Guilherme,915
Rua Ibitirama,vila prudente,65,3,1,Apartamento,2500,3052,Vila Prudente,988
Rua Santo Egídio,santa teresinha,54,2,1,Apartamento,1503,2348,Santa Teresinha,1154
Rua Caetano Pinto,bras,28,1,0,Apartamento,1750,2178,Brás,934
Rua Galeão Coutinho,vila marina,70,1,0,Casa,1210,1262,Vila Marina,1146
Rua da Mooca,mooca,57,2,0,Apartamento,2100,2697,Mooca,934
Rua Curupá,vila formosa,70,3,1,Apartamento,2745,3986,Vila Formosa,986
Avenida Brigadeiro Luís Antônio,bela vista,40,1,1,Studio e kitnet,2850,3707,Bela Vista,1410
Rua Celso Ramos,vila andrade,48,2,1,Apartamento,2100,2557,Vila Andrade,917
Rua Peixoto Gomide,jardim paulista,31,1,0,Studio e kitnet,2100,2481,Jardim Paulista,937
Rua Antônio de Godói,centro,53,2,0,Apartamento,2500,3032,Centro,1410
Avenida Itaboraí,bosque da saude,55,2,1,Apartamento,2300,3396,Bosque da Saúde,1072
Rua Professor Arnaldo João Semeraro,jardim santa emilia,61,2,1,Apartamento,1300,1919,Jardim Santa Emília,923
Rua Dionísio da Costa,vila mariana,33,1,1,Studio e kitnet,3000,4040,Vila Mariana,1072
Rua Coronel Amaro Sobrinho,vila carrao,80,2,1,Casa,1650,1720,Vila Carrao,1077
Rua Cerqueira César,centro,30,1,0,Studio e kitnet,1100,1422,Centro,1410
Rua Marie Nader Calfat,jardim ampliacao,60,2,1,Apartamento,2684,3728,Jardim Ampliação,917
Rua das Ameixas,vila cruz das almas,120,3,1,Casa,2000,2085,Vila Cruz das Almas,1146
Avenida Corifeu de Azevedo Marques,butanta,30,1,0,Studio e kitnet,1200,1266,Butantã,993
Rua Aguiar de Barros,bela vista,16,1,0,Studio e kitnet,2950,3378,Bela Vista,1410
Rua Visconde de Parnaíba,jardim brasilia,38,2,0,Apartamento,1970,2496,Jardim Brasília (zona Norte),963
